ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
28,Mississippi,MS,28001,Adams County,28001,"Adams County, Mississippi",462.34334880333597,29425,0,14893,382,11618,532,11387,1265,787,270,2749,359,3549,533,3477,760,5971,139,6368,289,4139,422,1175,245,1129,471,18591,40,525,189,1816,359,167,117,1004,228,1988,891,41.5,4.4,7.1,2.5,23.7,2.9,17.5,2.5,12.7,2.7,20.3,0.5,21.6,1.0,15.1,1.6,10.1,2.1,4.1,1.7,63.2,0.1,3.5,1.3,12.2,2.4,1.4,1.0,8.6,1.9,6.8,3.0,0.8272,0.5556,0.5432,0.5556,0.4691,2.9507,0.7037,0.8025,0.2346,0.2346,0.7531,1.0,3.0248,0.8272,0.7654,0.7654,0.7654,0.7284,0.2222,0.1852,0.7654,0.8889,2.7901,0.6543,9.531,0.8025,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,28650,2172,316,15707,352,2051,0,264,244,57,78,0,26,354,165,158,153,18.7,2.8,53.4,1.2,7.0,0.0,0.9,0.8,0.2,0.3,0.0,0.2,1.2,0.6,0.5,0.5
28,Mississippi,MS,28003,Alcorn County,28003,"Alcorn County, Mississippi",400.044301135718,34717,0,16256,32,13975,415,10894,963,977,278,3563,473,4357,636,4626,560,6406,52,7893,40,7715,772,850,223,80,125,6679,364,772,301,2601,348,292,122,1082,253,755,31,32.2,2.8,6.4,1.8,25.5,3.3,18.1,2.6,13.6,1.7,18.5,0.1,22.7,0.1,22.7,2.3,6.1,1.6,0.2,0.4,19.2,1.0,4.8,1.9,16.0,2.1,2.1,0.9,7.7,1.8,2.2,0.1,0.3333,0.4938,0.642,0.642,0.679,2.7901,0.642,0.6543,0.4074,0.7901,0.1358,0.321,2.3086,0.4321,0.0494,0.0494,0.0494,0.8148,0.358,0.5062,0.6914,0.4691,2.8395,0.679,7.9876,0.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33962,3691,569,3274,405,1211,0,139,76,20,22,44,76,1960,495,31,34,26.4,3.9,9.4,1.2,3.5,0.0,0.4,0.2,0.1,0.1,0.1,0.2,5.6,1.4,0.1,0.1
28,Mississippi,MS,28005,Amite County,28005,"Amite County, Mississippi",730.099912036536,12683,0,7231,16,5834,308,4775,610,305,131,1019,259,1138,242,1430,387,3116,24,2600,27,3471,364,500,197,39,87,5335,49,95,76,2537,407,41,48,444,169,123,21,38.0,4.9,7.5,3.0,17.5,4.3,12.5,2.7,11.4,3.1,24.6,0.2,20.5,0.2,27.6,2.9,8.6,3.3,0.3,0.7,42.1,0.4,1.3,1.1,35.1,5.6,0.7,0.8,7.6,2.8,1.0,0.2,0.716,0.642,0.0864,0.1728,0.321,1.9382,0.284,1.0,0.1111,0.9506,0.5926,0.4321,3.0864,0.8519,0.4568,0.4568,0.4568,0.358,0.9753,0.0617,0.679,0.1358,2.2098,0.3951,7.6912,0.4691,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,9866,1821,321,5101,108,9,13,4,7,11,15,0,22,184,104,26,49,31.2,5.0,40.2,0.8,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.4,1.5,0.8,0.2,0.4
28,Mississippi,MS,28007,Attala County,28007,"Attala County, Mississippi",734.95646785809,17842,0,8354,20,6311,272,6335,718,541,168,1716,337,1864,314,1740,261,3426,74,4494,103,3296,401,544,153,33,86,8455,35,144,92,1725,237,183,78,510,154,385,7,36.4,4.1,7.2,2.2,27.2,5.2,15.9,2.7,9.9,1.5,19.2,0.4,25.2,0.6,18.8,2.3,8.6,2.4,0.2,0.5,47.4,0.2,1.7,1.1,20.6,2.8,2.9,1.2,8.1,2.4,2.2,0.0,0.642,0.5679,0.716,0.4321,0.1111,2.4691,0.5185,0.7531,0.8519,0.4444,0.5926,0.321,2.963,0.8025,0.5556,0.5556,0.5556,0.4815,0.4815,0.7654,0.7284,0.4691,2.9259,0.7037,8.9136,0.6914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15659,1444,211,7528,223,397,0,47,49,21,35,0,22,462,227,0,22,22.9,3.2,42.2,1.2,2.2,0.0,0.3,0.3,0.1,0.2,0.0,0.3,2.6,1.3,0.0,0.3
28,Mississippi,MS,28009,Benton County,28009,"Benton County, Mississippi",406.616146752636,7637,0,4080,20,3086,191,2317,405,151,80,670,190,1192,221,1042,235,1584,88,1605,64,1692,217,157,79,74,84,3044,5,37,34,1139,217,47,31,193,82,99,31,30.7,5.4,4.4,2.5,21.7,6.0,22.0,4.0,13.8,3.1,20.7,1.2,21.0,0.8,22.4,2.9,5.1,2.5,1.0,1.1,39.9,0.1,0.9,0.8,27.9,5.3,1.5,1.0,6.3,2.7,1.3,0.4,0.2469,0.1852,0.3827,0.8765,0.7284,2.4197,0.5062,0.8395,0.1481,0.7778,0.0617,0.8025,2.6296,0.6049,0.4074,0.4074,0.4074,0.2099,0.8642,0.2222,0.4444,0.2593,2.0,0.2469,7.4567,0.4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5750,1175,203,2514,162,239,0,30,40,0,20,5,12,253,145,3,5,38.1,5.9,32.9,2.1,3.1,0.0,0.4,0.5,0.0,0.6,0.1,0.2,3.3,1.9,0.0,0.1
28,Mississippi,MS,28011,Bolivar County,28011,"Bolivar County, Mississippi",876.506243703564,30688,0,13685,27,11704,291,13436,867,886,229,3836,395,3563,345,4352,622,5031,36,7516,20,5236,450,1399,256,192,154,21245,341,507,150,1122,170,408,183,1259,239,1596,34,47.1,3.0,7.4,1.9,32.8,3.3,17.8,1.7,14.6,2.1,16.4,0.1,24.5,0.1,17.5,1.5,12.0,2.2,0.7,0.5,69.2,1.1,3.7,1.1,8.2,1.2,3.5,1.6,10.8,2.1,5.2,0.1,0.8889,0.6173,0.9506,0.5926,0.8642,3.9136,0.9012,0.2469,0.7407,0.3086,0.8642,0.679,2.8394,0.7284,0.8148,0.8148,0.8148,0.7778,0.0864,0.8642,0.8642,0.8272,3.4198,0.9506,10.9876,0.9259,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31877,2968,314,19386,185,698,0,246,71,4,8,0,30,829,350,82,110,25.4,2.6,63.2,0.6,2.3,0.0,0.8,0.2,0.0,0.1,0.0,0.1,2.7,1.1,0.3,0.4
28,Mississippi,MS,28013,Calhoun County,28013,"Calhoun County, Mississippi",586.573220977784,13193,0,6743,21,5641,180,4448,551,251,93,1197,210,1993,227,1486,236,2588,25,2985,15,2869,242,459,112,230,128,4774,38,40,20,1075,195,158,96,423,87,305,8,34.4,4.3,4.2,1.6,21.2,3.7,21.7,2.4,11.5,1.8,19.6,0.2,22.6,0.1,22.2,1.9,8.2,2.0,1.8,1.0,36.2,0.3,0.6,0.3,15.9,2.9,2.8,1.7,7.5,1.6,2.3,0.1,0.4568,0.1358,0.3086,0.8519,0.3457,2.0988,0.3827,0.7654,0.3704,0.7654,0.4938,0.9506,3.3456,0.9259,0.3086,0.3086,0.3086,0.1481,0.3457,0.7407,0.6667,0.5062,2.4074,0.5062,8.1604,0.5926,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,10912,1341,196,3746,40,854,0,0,22,0,22,0,22,167,55,7,12,23.8,3.5,28.4,0.3,6.5,0.0,0.0,0.3,0.0,0.3,0.0,0.3,1.3,0.4,0.1,0.1
28,Mississippi,MS,28015,Carroll County,28015,"Carroll County, Mississippi",628.387617768954,9930,0,4946,22,4037,237,3447,658,232,171,807,249,1566,314,712,252,2385,0,1771,0,2001,376,217,112,0,80,3649,20,7,23,1301,293,83,66,205,118,388,38,36.1,6.9,6.0,4.2,20.0,6.1,21.2,4.5,7.5,2.6,24.0,0.0,17.8,0.0,21.0,3.9,5.3,2.8,0.0,0.8,36.7,0.2,0.1,0.5,26.3,5.9,2.0,1.6,5.1,2.9,3.9,0.4,0.6173,0.3827,0.2222,0.8395,0.0123,2.074,0.3333,0.9877,0.0247,0.6667,0.0741,0.0,1.7532,0.1111,0.3457,0.3457,0.3457,0.0123,0.8272,0.4568,0.2593,0.7037,2.2593,0.4321,6.4322,0.2469,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6546,1519,259,3555,68,11,15,0,20,0,20,0,20,83,70,0,20,37.6,6.3,35.8,0.7,0.1,0.1,0.0,0.5,0.0,0.5,0.0,0.5,0.8,0.7,0.0,0.5
28,Mississippi,MS,28017,Chickasaw County,28017,"Chickasaw County, Mississippi",501.781405545616,17024,0,7794,21,6767,237,5858,633,217,97,2025,321,2748,356,1755,343,3151,112,4223,15,2954,329,769,188,257,163,8666,5,65,55,1780,232,128,72,645,230,537,26,35.5,3.8,3.1,1.4,29.9,4.6,24.0,3.1,10.6,2.1,18.5,0.7,24.8,0.1,17.9,2.0,11.3,2.7,1.6,1.0,50.9,0.0,0.9,0.7,22.8,3.0,1.9,1.1,9.5,3.4,3.2,0.2,0.6049,0.0494,0.8889,0.9383,0.2099,2.6914,0.6173,0.6543,0.7778,0.3333,0.7901,0.9136,3.4691,0.9506,0.6296,0.6296,0.6296,0.2099,0.6049,0.4074,0.8272,0.642,2.6914,0.6296,9.4815,0.7654,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,15535,2128,298,7445,187,864,0,30,39,5,8,0,22,322,175,0,22,31.4,4.4,43.7,1.1,5.1,0.0,0.2,0.2,0.0,0.1,0.0,0.3,1.9,1.0,0.0,0.3
28,Mississippi,MS,28019,Choctaw County,28019,"Choctaw County, Mississippi",418.19685809417,8208,0,4350,24,3532,185,2531,400,249,113,861,176,752,156,996,232,1821,5,1739,53,2033,245,237,86,0,80,2706,26,30,20,906,146,45,52,204,85,186,43,31.4,5.0,7.3,3.3,24.4,4.8,13.1,2.7,12.4,2.9,22.2,0.1,21.2,0.6,25.2,3.1,6.7,2.4,0.0,1.0,33.0,0.3,0.7,0.5,20.8,3.4,1.3,1.5,5.8,2.3,2.3,0.5,0.284,0.6049,0.5556,0.2099,0.4321,2.0865,0.3457,0.963,0.1605,0.9136,0.2346,0.0,2.2717,0.3951,0.2346,0.2346,0.2346,0.1605,0.5062,0.1728,0.3333,0.5062,1.679,0.0864,6.2718,0.1975,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,6475,717,170,2397,72,145,0,35,48,9,8,0,20,105,60,15,24,20.3,4.7,29.2,0.9,1.8,0.0,0.4,0.6,0.1,0.1,0.0,0.5,1.3,0.7,0.2,0.3
